treeid,qlegalstatus,qspecies,qaddress,siteorder,qsiteinfo,qcaretaker,plantdate,age,dbh,plotsize,latitude,longitude,location_2,location
52558,DPW Maintained,Hakea suaveolens :: Sweet Hakea Tree,1674 39th Ave,1,Sidewalk: Curb side : Cutout,Private,2006,17,5,,37.75564295,-122.4979751,POINT(-122.4979751 37.75564295),POINT(-122.4979751 37.75564295)
63370,Permitted Site,Eriobotrya deflexa :: Bronze Loquat,393 Crescent Ave,1,Sidewalk: Curb side : Cutout,Private,1987,36,8,3x3,37.73496595,-122.4169463,POINT(-122.4169463 37.73496595),POINT(-122.4169463 37.73496595)
44198,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,100 Harrison St,3,Sidewalk: Curb side : Cutout,Private,2000,23,4,,37.7887021,-122.3897953,POINT(-122.3897953 37.7887021),POINT(-122.3897953 37.7887021)
141333,DPW Maintained,Lophostemon confertus :: Brisbane Box,1205 Hayes St,1,Sidewalk: Curb side : Cutout,Private,1992,31,14,Width 0ft,37.77512614,-122.4362906,POINT(-122.4362906 37.77512614),POINT(-122.4362906 37.77512614)
116997,Undocumented,Tristaniopsis laurina :: Swamp Myrtle,21 ROSEMONT PL,1,Sidewalk: Curb side : Cutout,Private,2016,7,3,3x3,37.76861729,-122.4254632,POINT(-122.4254632 37.76861729),POINT(-122.4254632 37.76861729)
24673,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,4301 Geary Blvd,1,Sidewalk: Curb side : Cutout,Private,2005,18,3,3X3,37.78075794,-122.4656011,POINT(-122.4656011 37.78075794),POINT(-122.4656011 37.78075794)
158174,Permitted Site,Tristania conferta ::,134 Miguel St,1,Sidewalk: Curb side : Cutout,Private,2018,5,3,3x3,37.73788911,-122.428468,POINT(-122.428468 37.73788911),POINT(-122.428468 37.73788911)
46699,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,1399X FUNSTON AVE,1,Sidewalk: Curb side : Cutout,Private,2002,21,8,3x3,37.76291697,-122.4705326,POINT(-122.4705326 37.76291697),POINT(-122.4705326 37.76291697)
105908,DPW Maintained,Prunus x yedoensis :: Yoshino Cherry,1237 NORIEGA ST,1,Sidewalk: Curb side : Cutout,Private,2014,9,20,3x3,37.7539682,-122.4770614,POINT(-122.4770614 37.7539682),POINT(-122.4770614 37.7539682)
23630,DPW Maintained,Lophostemon confertus :: Brisbane Box,52 Virginia Ave,1,Sidewalk: Curb side : Cutout,Private,1994,29,3,3X3,37.74277993,-122.4207917,POINT(-122.4207917 37.74277993),POINT(-122.4207917 37.74277993)
198590,Planning Code 138.1 required,Ulmus parvifolia :: Chinese Elm,980 16th St,10,Sidewalk: Curb side : Cutout,Private,2018,5,3,Width 4ft,37.76655109,-122.396539,POINT(-122.396539 37.76655109),POINT(-122.396539 37.76655109)
62975,DPW Maintained,Lophostemon confertus :: Brisbane Box,1835 Leavenworth St,1,Sidewalk: Curb side : Cutout,Private,1986,37,9,,37.79793794,-122.4171998,POINT(-122.4171998 37.79793794),POINT(-122.4171998 37.79793794)
